state,FY,source,power_mw,generation_gwh
Punjab,2020,Wind,-,16.9
Rajasthan,2020,Coal,9820,45851.11
Rajasthan,2020,Oil & Gas,1023.13,1033.51
Rajasthan,2020,Nuclear,1180,8451.58
Rajasthan,2020,Hydro,411,606.18
Rajasthan,2020,Solar,5275.27,7776.56
Rajasthan,2020,Wind,4299.72,6155.82
Rajasthan,2020,Small Hydro,23.85,9.75
Rajasthan,2020,Bio Power,125.13,389.94
Sikkim,2020,Hydro,2169,11027.36
Sikkim,2020,Solar,1.94,0
Sikkim,2020,Small Hydro,52.11,60.62
Tamil Nadu,2020,Coal,13160,62876.46
Tamil Nadu,2020,Oil & Gas,1228.88,2869.99
Tamil Nadu,2020,Nuclear,2440,12986.33
Tamil Nadu,2020,Hydro,2178.2,4765.24
Tamil Nadu,2020,Solar,3961.56,4946.63
Tamil Nadu,2020,Wind,9304.34,14126.92
Tamil Nadu,2020,Small Hydro,123.05,235.76
Tamil Nadu,2020,Bio Power,1021.69,454.58
Telangana,2020,Coal,7182.5,47347.78
Telangana,2020,Hydro,2405.6,4507.04
Telangana,2020,Solar,3629.1,6263.92
Telangana,2020,Wind,128.1,238.27
Telangana,2020,Small Hydro,90.87,46.29
Telangana,2020,Bio Power,189.18,245.78
Tripura,2020,Oil & Gas,1132.1,6092.94
Tripura,2020,Solar,12.9,3.43
Tripura,2020,Small Hydro,16.01,24.67
Uttarakhand,2020,Oil & Gas,450,1986.79
Uttarakhand,2020,Hydro,3756.35,14554.53
Uttarakhand,2020,Solar,327.57,341.51
Uttarakhand,2020,Small Hydro,214.32,742.19
Uttarakhand,2020,Bio Power,139.72,110.26
Uttar Pradesh,2020,Coal,22409,117018.91
Uttar Pradesh,2020,Oil & Gas,1493.14,2296.54
Uttar Pradesh,2020,Nuclear,440,3791.29
Uttar Pradesh,2020,Hydro,501.6,1073.48
Uttar Pradesh,2020,Solar,1208.52,1447.05
Uttar Pradesh,2020,Small Hydro,25.1,36.43
Uttar Pradesh,2020,Bio Power,2165.75,3659.74
West Bengal,2020,Coal,14165,71395.39
West Bengal,2020,Oil & Gas,80,0
West Bengal,2020,Hydro,1341.2,2916.38
West Bengal,2020,Solar,127.24,64.29
West Bengal,2020,Small Hydro,98.5,115.68
West Bengal,2020,Bio Power,321.09,1295.07
